Model Number,Name,Model,Color,Manufacturing Company,Additional Features,Mileage,Engine CC,Price,Reviews
2DRDAXAF,Compass,2011,Green,Mitsubishi,Adaptive Cruise Control; Sunroof; Backup Camera; Leather Seats; Bluetooth,16.7,2249.5,32233.44,3.1
AVJ9C41R,Ridgeline,2010,Orange,Chevrolet,Sunroof; Premium Sound System; Lane Departure Warning; Bluetooth,20.4,2098.0,50152.53,4.4
QUUXVTZL,Yaris,2020,Blue,Suzuki,Premium Sound System; Backup Camera; Navigation System; Leather Seats; Adaptive Cruise Control; Blind Spot Monitoring; Sunroof,28.5,4800.0,67581.61,3.3
6XYJV0ZH,Focus,2018,Orange,Mitsubishi,Leather Seats; Navigation System; Blind Spot Monitoring; Lane Departure Warning; Bluetooth; Sunroof; Premium Sound System; Adaptive Cruise Control; Backup Camera,10.3,2003.4,61355.24,3.4
MPA6P9OL,Durango,2012,Blue,Mitsubishi,Premium Sound System,27.7,3701.4,57494.11,3.3
AL88Q3I7,Outback,2013,Gray,Mitsubishi,Blind Spot Monitoring; Bluetooth,16.5,3320.2,55429.21,3.8
4QPPONCD,RAV4,2011,Black,Mitsubishi,Bluetooth; Blind Spot Monitoring; Lane Departure Warning; Leather Seats; Adaptive Cruise Control; Sunroof; Navigation System; Premium Sound System,14.0,2257.5,37936.41,4.1
NMZ0ZRRW,Compass,2011,Gray,Rolls-Royce,Lane Departure Warning; Sunroof; Blind Spot Monitoring; Adaptive Cruise Control; Navigation System; Premium Sound System,28.0,1518.9,21938.17,4.1
A7QO5E8U,Fortuner,2012,Red,Mitsubishi,Bluetooth; Navigation System; Blind Spot Monitoring; Leather Seats; Premium Sound System,21.5,2386.8,29885.31,4.6
0E2ZIJD0,Rav4,2015,Silver,Mitsubishi,Backup Camera; Sunroof; Leather Seats; Lane Departure Warning; Premium Sound System,15.8,2911.8,40927.16,3.9
T24DSU3E,Tacoma,2010,Orange,Audi,Premium Sound System,11.6,4446.8,70002.61,3.6
RPQJNKLO,Jetta,2012,Green,Rolls-Royce,Blind Spot Monitoring; Bluetooth; Navigation System,25.9,1292.0,23647.46,3.1
P1VHGOZH,Sienna,2017,Yellow,Chevrolet,Premium Sound System; Leather Seats; Navigation System; Lane Departure Warning,12.5,2356.1,23214.08,3.4
Z769KO1Q,Silverado,2010,Yellow,BMW,Blind Spot Monitoring; Navigation System,23.4,1601.5,62100.04,4.4
IJNS64IE,Forester,2014,Orange,Rolls-Royce,Blind Spot Monitoring; Backup Camera; Bluetooth; Adaptive Cruise Control,25.4,2024.6,40927.81,4.1
9S2ARIW2,Grand Cherokee,2013,Gray,Chevrolet,Blind Spot Monitoring; Backup Camera; Sunroof; Lane Departure Warning; Adaptive Cruise Control; Premium Sound System,25.0,3519.1,31022.53,3.3
6U14RO5F,Rav4,2017,Orange,BMW,Sunroof; Adaptive Cruise Control; Lane Departure Warning; Bluetooth; Backup Camera,23.5,3435.2,37900.21,4.6
4Z3D684N,Impreza,2017,Black,Chevrolet,Leather Seats; Bluetooth; Sunroof; Navigation System; Premium Sound System; Blind Spot Monitoring,28.9,2634.6,49826.73,4.5
0SDGEGBY,Durango,2017,White,Suzuki,Backup Camera; Premium Sound System; Bluetooth; Leather Seats; Lane Departure Warning; Sunroof; Adaptive Cruise Control,17.1,1579.4,57572.69,4.2
HBIWAD11,Ridgeline,2021,Gray,Audi,Backup Camera; Leather Seats; Adaptive Cruise Control; Blind Spot Monitoring; Navigation System; Sunroof; Premium Sound System,17.6,3853.0,66168.35,3.5
Y5315TRL,Forester,2019,Gray,Chevrolet,Blind Spot Monitoring; Sunroof; Lane Departure Warning; Bluetooth; Leather Seats; Backup Camera; Premium Sound System,28.5,1229.9,49301.9,4.2
8KOTPLSD,Expedition,2014,Gray,Mitsubishi,Navigation System; Backup Camera; Lane Departure Warning; Bluetooth; Leather Seats; Sunroof; Premium Sound System,16.9,3491.7,50999.16,3.0
4BUAAYWT,C-Class,2022,Yellow,Chevrolet,Navigation System; Premium Sound System; Adaptive Cruise Control; Backup Camera; Sunroof; Blind Spot Monitoring,22.1,2083.5,78785.02,4.7
RKAWCNG1,Outback,2016,Green,Mitsubishi,Sunroof; Lane Departure Warning; Bluetooth; Backup Camera; Navigation System; Premium Sound System; Blind Spot Monitoring,10.6,4982.1,65905.62,3.5
JGR5B7PP,Passat,2022,White,BMW,Leather Seats; Adaptive Cruise Control; Backup Camera; Sunroof; Navigation System; Bluetooth; Blind Spot Monitoring,22.9,2592.5,31061.28,3.5
W2AM2ZA1,Ranger,2012,Blue,Audi,Backup Camera; Premium Sound System; Sunroof; Blind Spot Monitoring; Lane Departure Warning; Navigation System; Leather Seats; Bluetooth; Adaptive Cruise Control,21.0,2342.6,77179.5,4.5
69JNMCQZ,Forester,2012,Green,BMW,Adaptive Cruise Control; Lane Departure Warning; Leather Seats; Bluetooth; Backup Camera; Blind Spot Monitoring; Sunroof; Premium Sound System,19.0,1857.7,44305.48,4.3
K7P6LPYV,Legacy,2018,Blue,Rolls-Royce,Navigation System; Bluetooth; Backup Camera; Sunroof; Leather Seats; Adaptive Cruise Control; Premium Sound System; Lane Departure Warning; Blind Spot Monitoring,10.5,3419.6,61750.64,4.9
J9MZSXTL,Yaris,2013,Orange,Mitsubishi,Sunroof; Adaptive Cruise Control; Blind Spot Monitoring; Lane Departure Warning; Backup Camera; Bluetooth; Navigation System; Leather Seats,26.7,1127.8,33591.4,4.2
IJMU7QO1,Ram 1500,2015,Silver,Mitsubishi,Backup Camera,23.8,2422.4,57923.51,3.1
MGY4IOFR,5 Series,2010,Orange,BMW,Sunroof; Navigation System; Backup Camera,21.4,4953.4,78262.16,4.2
Q0EAC3F4,Durango,2012,Red,BMW,Lane Departure Warning; Premium Sound System; Leather Seats; Adaptive Cruise Control; Bluetooth; Blind Spot Monitoring,22.3,4608.4,79408.8,4.0
XNLR5RRC,Tiguan,2020,Black,Mitsubishi,Premium Sound System; Leather Seats; Navigation System; Adaptive Cruise Control; Backup Camera; Sunroof; Blind Spot Monitoring; Bluetooth; Lane Departure Warning,20.2,4708.1,32598.52,4.9
E6TZ2V4Z,Murano,2021,Yellow,Suzuki,Adaptive Cruise Control; Premium Sound System; Lane Departure Warning; Bluetooth,25.1,4054.5,40401.13,3.8
1URJACAD,Passat,2018,Blue,Chevrolet,Blind Spot Monitoring; Sunroof; Leather Seats; Adaptive Cruise Control; Navigation System,10.3,3283.6,45303.17,4.1
KMAQO5MH,Impreza,2013,Gray,Chevrolet,Blind Spot Monitoring; Premium Sound System; Lane Departure Warning; Adaptive Cruise Control,13.0,1000.4,61592.14,4.7
574ITNFR,Sorento,2014,Black,BMW,Backup Camera; Blind Spot Monitoring; Sunroof; Adaptive Cruise Control; Navigation System,19.7,4204.1,74461.84,4.5
LKNH0321,Impreza,2021,Green,Suzuki,Premium Sound System; Bluetooth; Leather Seats; Adaptive Cruise Control; Lane Departure Warning; Sunroof,27.5,2403.3,33204.64,4.9
F5XMRMAG,Fiesta,2011,White,Suzuki,Bluetooth; Leather Seats; Navigation System; Lane Departure Warning; Premium Sound System,25.2,2290.3,69574.96,3.9
2ZQVFIR7,Q7,2019,Black,Chevrolet,Bluetooth; Leather Seats; Navigation System; Lane Departure Warning; Blind Spot Monitoring; Sunroof,11.6,1609.3,58958.12,3.3
MD5287FO,RAV4,2020,Yellow,Chevrolet,Navigation System; Bluetooth; Lane Departure Warning; Adaptive Cruise Control,20.5,2437.9,57925.46,3.7
MJ2P2L02,Rogue,2020,Yellow,Audi,Backup Camera; Premium Sound System; Blind Spot Monitoring; Bluetooth,19.9,3561.1,43747.94,4.8
F6MN5B63,Outback,2012,Blue,Rolls-Royce,Sunroof; Premium Sound System; Navigation System,21.3,4594.8,41702.01,4.8
MWIBXKVN,Jetta,2015,Black,Mitsubishi,Bluetooth; Sunroof; Leather Seats; Lane Departure Warning; Navigation System; Backup Camera,14.0,2163.7,79239.43,3.5
MAZBYQAF,Rogue,2015,Blue,Audi,Adaptive Cruise Control; Backup Camera; Lane Departure Warning,21.3,4305.1,37606.1,4.2
8JHEO869,Renegade,2016,Yellow,Chevrolet,Navigation System; Backup Camera,10.2,2728.9,26500.06,3.9
8KZS4KW8,Wrangler,2017,Black,Mitsubishi,Adaptive Cruise Control; Blind Spot Monitoring; Leather Seats; Lane Departure Warning; Backup Camera; Sunroof; Bluetooth; Premium Sound System,20.5,4641.8,55186.77,3.8
ZZ9H5ED5,X3,2017,Yellow,Audi,Lane Departure Warning; Sunroof,26.2,2369.6,75395.14,3.3
85MCD3Y8,Tundra,2018,Yellow,BMW,Leather Seats; Bluetooth; Backup Camera; Lane Departure Warning; Blind Spot Monitoring; Navigation System; Premium Sound System,29.9,3256.6,25640.68,3.3
VJVZCWZF,Tundra,2014,Gray,Chevrolet,Adaptive Cruise Control,15.8,1858.5,65298.18,4.3
JHFO09EH,Leaf,2018,Silver,Mitsubishi,Leather Seats; Premium Sound System; Navigation System; Bluetooth,29.6,2840.0,36239.11,3.9
MEZYHWH7,Camry,2010,Red,Rolls-Royce,Backup Camera,29.7,3724.0,52066.45,4.6
JPDT1RAH,Jetta,2017,Black,Mitsubishi,Premium Sound System,11.2,2026.9,33846.69,3.9
389TSODI,86,2020,Silver,Audi,Blind Spot Monitoring,28.2,4385.8,68418.41,4.7
U6SN9CAG,Murano,2011,Green,Mitsubishi,Premium Sound System; Backup Camera; Blind Spot Monitoring; Sunroof; Lane Departure Warning; Adaptive Cruise Control; Leather Seats; Bluetooth; Navigation System,18.5,3337.1,50088.9,3.8
DSOFFJPC,Sienna,2011,Blue,Audi,Navigation System; Bluetooth; Backup Camera; Blind Spot Monitoring,13.5,2627.0,49493.02,3.5
PHXQJ64N,5 Series,2018,Red,BMW,Bluetooth; Navigation System; Adaptive Cruise Control; Blind Spot Monitoring; Leather Seats,28.8,2749.3,24116.39,4.2
0J7XNYRC,Accord,2012,Green,Audi,Navigation System; Leather Seats,29.7,1061.8,41437.95,3.5
DN6AG88G,Legacy,2019,Orange,BMW,Navigation System; Backup Camera; Premium Sound System; Bluetooth,21.4,1644.1,60970.58,3.8
JOUX2CYL,Pilot,2015,Yellow,Suzuki,Navigation System; Leather Seats; Lane Departure Warning; Blind Spot Monitoring; Sunroof; Premium Sound System; Backup Camera,22.1,1159.8,25008.8,4.8
G8GQGQQE,Atlas,2020,Yellow,Audi,Navigation System; Premium Sound System,24.0,4412.0,53580.03,3.3
BQZJKMD1,Altima,2018,Blue,Chevrolet,Premium Sound System; Adaptive Cruise Control; Blind Spot Monitoring; Lane Departure Warning; Backup Camera; Sunroof; Navigation System,10.4,2503.7,50665.54,4.6
YMHAXX37,Fortuner,2021,Yellow,Audi,Blind Spot Monitoring; Adaptive Cruise Control; Navigation System,28.7,4978.9,34266.49,3.5
VE7WWTTH,WRX,2017,Green,Suzuki,Adaptive Cruise Control; Backup Camera; Bluetooth; Blind Spot Monitoring; Leather Seats; Navigation System,23.2,2657.9,70628.72,4.7
5WCKV0M7,C-Class,2011,Green,Rolls-Royce,Adaptive Cruise Control,12.7,3563.4,25439.31,4.9
5TGRF7JS,Escape,2021,Green,BMW,Leather Seats; Lane Departure Warning; Adaptive Cruise Control; Bluetooth; Navigation System; Sunroof; Backup Camera,18.6,4817.6,24444.33,4.5
9RKIQZXP,Sportage,2022,Gray,Mitsubishi,Leather Seats; Bluetooth; Backup Camera; Sunroof; Blind Spot Monitoring; Lane Departure Warning; Premium Sound System,28.6,4035.4,49459.9,4.5
KTIA1TV4,Rav4,2017,White,Rolls-Royce,Backup Camera; Bluetooth; Navigation System; Premium Sound System; Blind Spot Monitoring; Leather Seats,16.1,3089.6,26562.52,5.0
NUX8WW7A,Edge,2020,Black,Mitsubishi,Bluetooth; Blind Spot Monitoring; Premium Sound System; Adaptive Cruise Control; Leather Seats,23.6,3997.0,26671.51,3.5
IEELW7Y3,Edge,2010,Red,Suzuki,Lane Departure Warning; Navigation System; Adaptive Cruise Control; Blind Spot Monitoring; Leather Seats; Premium Sound System; Bluetooth,12.3,4751.6,67968.37,4.2
MSQ7QKR5,3 Series,2017,Silver,Chevrolet,Backup Camera; Lane Departure Warning; Bluetooth; Premium Sound System,21.8,3393.2,64902.19,3.2
E55ZERMP,X5,2018,Silver,Mitsubishi,Premium Sound System; Backup Camera; Leather Seats; Lane Departure Warning; Sunroof; Navigation System; Adaptive Cruise Control,20.0,3734.5,32533.86,4.8
2UHT0JCD,Yaris,2013,Blue,Audi,Blind Spot Monitoring; Leather Seats; Premium Sound System; Adaptive Cruise Control,14.3,1106.0,53960.74,4.7
LZAOEBJU,Jetta,2014,Gray,Rolls-Royce,Adaptive Cruise Control; Leather Seats; Sunroof; Premium Sound System; Blind Spot Monitoring; Bluetooth; Lane Departure Warning,25.1,3015.6,69663.88,4.4
JAUNKVSE,GLC,2013,Silver,Mitsubishi,Premium Sound System,11.9,4719.1,67966.68,3.5
L1P0BZZO,Escape,2020,Yellow,Audi,Sunroof; Leather Seats; Navigation System; Blind Spot Monitoring; Bluetooth,18.8,3186.0,59001.3,4.7
4E2Q7G6C,Passat,2017,Gray,BMW,Premium Sound System; Lane Departure Warning; Adaptive Cruise Control,16.2,1573.3,76971.62,3.1
0RPR3PYK,Impreza,2019,Gray,Audi,Lane Departure Warning; Premium Sound System; Adaptive Cruise Control; Navigation System; Bluetooth; Blind Spot Monitoring; Backup Camera; Leather Seats,12.2,3608.4,50550.41,4.7
J0PHWFE1,Stinger,2013,Red,Mitsubishi,Leather Seats; Blind Spot Monitoring; Premium Sound System; Bluetooth; Lane Departure Warning,23.6,3663.5,42089.4,4.9
